"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","has all fields matching existing book","chromium","Mon Apr 07 17:16:19 EEST 2025","passed","Mon Apr 07 17:16:19 EEST 2025","GET Books by ID","get-books.spec.ts","",""
"","4","has 200 response code","chromium","Thu Apr 10 12:11:30 EEST 2025","passed","Thu Apr 10 12:11:30 EEST 2025","Endpoint /Books > GET all Books","api-tests\get-books.spec.ts","",""
"","6","has response data as a non-empty array","","Thu Apr 10 13:46:39 EEST 2025","passed","Thu Apr 10 13:46:39 EEST 2025","Endpoint /Books > GET all Books","api-tests\get-books.spec.ts","",""
"","2","has response data as a non-empty array","webkit","Sat Apr 05 11:58:13 EEST 2025","failed","Sat Apr 05 11:58:13 EEST 2025","Endpoint /Books > GET all Books","get-books.spec.ts","",""
"","2744","Login #2: """" should fail","UI tests","Thu Apr 10 12:18:02 EEST 2025","passed","Thu Apr 10 12:18:05 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","7","Should return status 200","chromium","Fri Apr 04 18:30:11 EEST 2025","passed","Fri Apr 04 18:30:11 EEST 2025","GET request to authors","api\authors.spec.ts","",""
"","4202","logout","","Thu Apr 10 12:24:14 EEST 2025","passed","Thu Apr 10 12:24:18 EEST 2025","🔐 Data-Driven Login Form Tests","login.spec.ts","",""
"","2018","Login #1: """" should fail","","Thu Apr 10 12:27:42 EEST 2025","passed","Thu Apr 10 12:27:44 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","386","has 200 response code","webkit","Sat Apr 05 11:58:13 EEST 2025","failed","Sat Apr 05 11:58:13 EEST 2025","Endpoint /Books > DELETE Books by ID","get-books.spec.ts","",""
"","4594","Login #5: ""standard_user"" should fail","chromium","Thu Apr 10 12:13:18 EEST 2025","passed","Thu Apr 10 12:13:23 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
"","330","Send POST book with node-fetch","chromium","Mon Apr 07 18:55:28 EEST 2025","passed","Mon Apr 07 18:55:28 EEST 2025","","get-books.spec.ts","",""
"","3045","Demo test loads example.com","","Thu Apr 10 12:24:14 EEST 2025","passed","Thu Apr 10 12:24:17 EEST 2025","","demo.spec.ts","",""
"","2530","Login #7: ""standard_user"" should succeed","","Thu Apr 10 12:27:43 EEST 2025","passed","Thu Apr 10 12:27:45 EEST 2025","🔐 Data-Driven Login Form Tests","ui-tests\login.spec.ts","",""
