"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Login #6: ""locked_out_user"" should fail","","Fri Apr 11 12:10:57 UTC 2025","passed","Fri Apr 11 12:10:57 UTC 2025","🔐 Data-Driven Login Form Tests","ui-tests/login.spec.ts","",""
"","90","Demo 2 test loads example.com","","Fri Apr 11 12:10:55 UTC 2025","passed","Fri Apr 11 12:10:55 UTC 2025","","ui-tests/demo.spec.ts","",""
"","1232","logout","","Fri Apr 11 12:10:57 UTC 2025","passed","Fri Apr 11 12:10:58 UTC 2025","🔐 Data-Driven Login Form Tests","ui-tests/login.spec.ts","",""
"","1","has 200 response code","","Fri Apr 11 12:10:51 UTC 2025","passed","Fri Apr 11 12:10:51 UTC 2025","Endpoint /Books > GET Books by ID","api-tests/get-books.spec.ts","",""
"","2","has 200 response code","","Fri Apr 11 12:10:51 UTC 2025","passed","Fri Apr 11 12:10:51 UTC 2025","Endpoint /Books > GET all Books","api-tests/get-books.spec.ts","",""
"","102","book is no longer retrievable","","Fri Apr 11 12:10:54 UTC 2025","passed","Fri Apr 11 12:10:54 UTC 2025","Endpoint /Books > DELETE Books by ID","api-tests/get-books.spec.ts","",""
"","535","Add all elements to cart","","Fri Apr 11 12:10:58 UTC 2025","passed","Fri Apr 11 12:10:59 UTC 2025","addElementToCart","ui-tests/login.spec.ts","",""
"","1","has 200 response code","","Fri Apr 11 12:10:52 UTC 2025","passed","Fri Apr 11 12:10:52 UTC 2025","Endpoint /Books > POST Books","api-tests/get-books.spec.ts","",""
"","722","Remove all cart items from remove button","","Fri Apr 11 12:10:59 UTC 2025","passed","Fri Apr 11 12:11:00 UTC 2025","addElementToCart","ui-tests/login.spec.ts","",""
"","1","has response data with valid id","","Fri Apr 11 12:10:52 UTC 2025","passed","Fri Apr 11 12:10:52 UTC 2025","Endpoint /Books > POST Books","api-tests/get-books.spec.ts","",""
"","256","Login #2: """" should fail","","Fri Apr 11 12:10:55 UTC 2025","passed","Fri Apr 11 12:10:56 UTC 2025","🔐 Data-Driven Login Form Tests","ui-tests/login.spec.ts","",""
"","4","should return a non-empty array","","Fri Apr 11 12:10:51 UTC 2025","passed","Fri Apr 11 12:10:51 UTC 2025","GET request to authors","api-tests/get-authors.spec.ts","",""
"","1","has 200 response code","","Fri Apr 11 12:10:54 UTC 2025","passed","Fri Apr 11 12:10:54 UTC 2025","Endpoint /Books > DELETE Books by ID","api-tests/get-books.spec.ts","",""
"","314","Login #7: ""standard_user"" should succeed","","Fri Apr 11 12:10:57 UTC 2025","passed","Fri Apr 11 12:10:57 UTC 2025","🔐 Data-Driven Login Form Tests","ui-tests/login.spec.ts","",""
"","2","has updated title in response","","Fri Apr 11 12:10:54 UTC 2025","passed","Fri Apr 11 12:10:54 UTC 2025","Endpoint /Books > PUT Books by ID","api-tests/get-books.spec.ts","",""
"","262","Login #3: ""standard_user"" should fail","","Fri Apr 11 12:10:56 UTC 2025","passed","Fri Apr 11 12:10:56 UTC 2025","🔐 Data-Driven Login Form Tests","ui-tests/login.spec.ts","",""
"","270","Login #4: ""test"" should fail","","Fri Apr 11 12:10:56 UTC 2025","passed","Fri Apr 11 12:10:56 UTC 2025","🔐 Data-Driven Login Form Tests","ui-tests/login.spec.ts","",""
"","4","Should return status 200","","Fri Apr 11 12:10:51 UTC 2025","passed","Fri Apr 11 12:10:51 UTC 2025","GET request to authors","api-tests/get-authors.spec.ts","",""
"","328","Login #1: """" should fail","","Fri Apr 11 12:10:55 UTC 2025","passed","Fri Apr 11 12:10:55 UTC 2025","🔐 Data-Driven Login Form Tests","ui-tests/login.spec.ts","",""
"","9","has response data matching payload","","Fri Apr 11 12:10:54 UTC 2025","passed","Fri Apr 11 12:10:54 UTC 2025","Endpoint /Books > POST Books","api-tests/get-books.spec.ts","",""
"","6","should return the correct author","","Fri Apr 11 12:10:51 UTC 2025","passed","Fri Apr 11 12:10:51 UTC 2025","GET /authors/:id","api-tests/get-authors.spec.ts","",""
"","1426","Remove all cart items from reset app state funcitonality","","Fri Apr 11 12:11:00 UTC 2025","passed","Fri Apr 11 12:11:01 UTC 2025","addElementToCart","ui-tests/login.spec.ts","",""
"","2","has response data as a non-empty array","","Fri Apr 11 12:10:51 UTC 2025","passed","Fri Apr 11 12:10:51 UTC 2025","Endpoint /Books > GET all Books","api-tests/get-books.spec.ts","",""
"","2","should return status 200","","Fri Apr 11 12:10:51 UTC 2025","passed","Fri Apr 11 12:10:51 UTC 2025","GET /authors/:id","api-tests/get-authors.spec.ts","",""
"","262","Login #5: ""standard_user"" should fail","","Fri Apr 11 12:10:56 UTC 2025","passed","Fri Apr 11 12:10:57 UTC 2025","🔐 Data-Driven Login Form Tests","ui-tests/login.spec.ts","",""
"","6","has all fields matching existing book","","Fri Apr 11 12:10:52 UTC 2025","passed","Fri Apr 11 12:10:52 UTC 2025","Endpoint /Books > GET Books by ID","api-tests/get-books.spec.ts","",""
"","328","Demo test loads example.com","","Fri Apr 11 12:10:54 UTC 2025","passed","Fri Apr 11 12:10:55 UTC 2025","","ui-tests/demo.spec.ts","",""
"","1","has 404 response code","","Fri Apr 11 12:10:52 UTC 2025","passed","Fri Apr 11 12:10:52 UTC 2025","Endpoint /Books > GET Books by non-existing ID","api-tests/get-books.spec.ts","",""
"","2","has 200 response code","","Fri Apr 11 12:10:54 UTC 2025","passed","Fri Apr 11 12:10:54 UTC 2025","Endpoint /Books > PUT Books by ID","api-tests/get-books.spec.ts","",""
